# MiniMax H3 — character usability index
#
# Which named characters H3 actually reproduces when you write the name and
# nothing else. Compiled by malcolmrey by generating test clips per character
# and judging each one by eye:
#   https://huggingface.co/datasets/malcolmrey/various  (h3-center/known-characters)
# Snapshot of the INDEX.md generated 2026-08-21. Community testing, not an
# official MiniMax list, and one person's judgement of a handful of clips —
# treat it as a strong hint, never as a guarantee.
#
# status	name	actor	franchise	clips
#   g  reproduced recognisably       f  mixed        b  did not reproduce
# actor is blank when it is the same as the name (the real-person rows).
g	Billy Butcher	Karl Urban	The Boys	2
g	Billy Costigan	Leonardo DiCaprio	The Departed	1
g	Bjorn Ironside	Alexander Ludwig	Vikings	1
g	Black Widow	Scarlett Johansson	Marvel's Avengers	1
g	Bobby Singer	Jim Beaver	Supernatural	1
g	Brad Pitt		Real Person / Celebrity	1
g	Brennan Huff	Will Ferrell	Step Brothers	1
g	Brick Tamland	Steve Carell	Anchorman	1
g	Bruce Banner	Mark Ruffalo	Marvel's Avengers	1
g	Bruce Wayne	Christian Bale	The Dark Knight	1
g	Bruce Wayne / Batman	Ben Affleck	Batman v Superman	1
g	Bruce Wayne / Batman	Christian Bale	The Dark Knight	1
g	Bruce Wayne / Batman	George Clooney	Batman & Robin	1
g	Bruce Wayne / Batman	Robert Pattinson	The Batman	1
g	Bryan Mills	Liam Neeson	Taken	1
g	Buffy Summers	Sarah Michelle Gellar	Buffy the Vampire Slayer	1
g	Calvin Candie	Leonardo DiCaprio	Django Unchained	1
g	Cameron Poe	Nicolas Cage	Con Air	1
g	Captain Jack Sparrow	Johnny Depp	Pirates of the Caribbean	3
g	Captain Raymond Holt	Andre Braugher	Brooklyn Nine-Nine	1
g	Caroline Channing	Beth Behrs	2 Broke Girls	1
g	Carrie Bradshaw	Sarah Jessica Parker	Sex and the City	1
g	Carrie Mathison	Claire Danes	Homeland	1
g	Castiel	Misha Collins	Supernatural	1
g	Castor Troy	John Travolta	Face/Off	1
g	Castor Troy	Nicolas Cage	Face/Off	1
g	Catwoman / Selina Kyle	Michelle Pfeiffer	Batman Returns	1
g	Celeste Wright	Nicole Kidman	Big Little Lies	1
g	Chandler Bing	Matthew Perry	Friends	1
g	Charlie Harper	Charlie Sheen	Two and a Half Men	1
g	Chef Gordon Ramsay	Gordon Ramsay	Hell's Kitchen	1
g	Chloe Decker	Lauren German	Lucifer	1
g	Clara Oswald	Jenna Coleman	Doctor Who	1
g	Clark Kent	Tom Welling	Smallville	1
g	Cliff Booth	Brad Pitt	Once Upon a Time in Hollywood	1
g	Clint Barton / Hawkeye	Jeremy Renner	Marvel's Avengers	1
g	Colin Farrell		Real Person / Celebrity	1
g	Commodus	Joaquin Phoenix	Gladiator	1
g	Conan	Arnold Schwarzenegger	Conan the Barbarian	1
g	Conan O'Brien		Late Night	2
g	Daemon Targaryen	Matt Smith	House of the Dragon	1
g	Daenerys Targaryen	Emilia Clarke	Game of Thrones	1
g	Dana Scully	Gillian Anderson	The X-Files	1
g	Daniel Craig		Real Person / Celebrity	1
g	Daniel Hillard / Mrs. Doubtfire	Robin Williams	Mrs. Doubtfire	1
g	Darlene Alderson	Carly Chaikin	Mr. Robot	1
g	Darth Vader (voiced by James Earl Jones)		Star Wars	1
g	Daryl Dixon	Norman Reedus	The Walking Dead	2
g	Data	Brent Spiner	Star Trek: The Next Generation	1
g	Dave Chappelle		Chappelle's Show	2
g	David Attenborough		Real Person / Celebrity	1
g	David Letterman		Late Show	2
g	Deadpool	Ryan Reynolds	Deadpool / Marvel's Avengers	2
g	Dean Winchester	Jensen Ackles	Supernatural	1
g	Denzel Washington		Real Person / Celebrity	1
g	Derek Zoolander	Ben Stiller	Zoolander	1
g	Detective Rosa Diaz	Stephanie Beatriz	Brooklyn Nine-Nine	1
g	Diana Prince / Wonder Woman	Gal Gadot	Wonder Woman	1
g	Django	Jamie Foxx	Django Unchained	1
g	Django Freeman	Jamie Foxx	Django Unchained	1
g	Doctor Stephen Strange	Benedict Cumberbatch	Doctor Strange	1
g	Doctor Strange	Benedict Cumberbatch	Marvel's Avengers	1
g	Dominic Toretto	Vin Diesel	Fast & Furious	1
g	Don Draper	Jon Hamm	Mad Men	1
g	Donald Trump		The Apprentice	2
g	Douglas Quaid	Arnold Schwarzenegger	Total Recall	1
g	Dr. Doug Ross	George Clooney	ER	1
g	Dr. Gregory House	Hugh Laurie	House M.D.	1
g	Dr. Hannibal Lecter	Anthony Hopkins	The Silence of the Lambs	2
g	Dr. Hannibal Lecter	Mads Mikkelsen	Hannibal	1
g	Dr. John Watson	Martin Freeman	Sherlock (BBC)	1
g	Dr. Robert Ford	Anthony Hopkins	Westworld	2
g	Dr. Rodney McKay	David Hewlett	Stargate Atlantis	1
g	Dr. Temperance Brennan	Emily Deschanel	Bones	1
g	Dr. Walter Bishop	John Noble	Fringe	1
g	Driver	Ryan Gosling	Drive	1
g	Dwight Schrute	Rainn Wilson	The Office	1
g	Dylan Sanders	Drew Barrymore	Charlie's Angels	2
g	Eddie Brock	Tom Hardy	Venom	1
g	Edward Cullen	Robert Pattinson	Twilight	2
g	Edward Nygma / The Riddler	Jim Carrey	Batman Forever	1
g	Edward Scissorhands	Johnny Depp	Edward Scissorhands	1
g	Elaine Benes	Julia Louis-Dreyfus	Seinfeld	1
g	Eleven	Millie Bobby Brown	Stranger Things	1
g	Elizabeth Swann	Keira Knightley	Pirates of the Caribbean	1
g	Elliot Alderson	Rami Malek	Mr. Robot	1
g	Ellis Boyd 'Red' Redding	Morgan Freeman	The Shawshank Redemption	1
g	Eric Cartman	Trey Parker	South Park	1
g	Erik Killmonger	Michael B. Jordan	Black Panther	1
g	Ethan Hunt	Tom Cruise	Mission: Impossible	2
g	Eve Polastri	Sandra Oh	Killing Eve	1
g	Fletcher Reede	Jim Carrey	Liar Liar	1
g	Forrest Gump	Tom Hanks	Forrest Gump	2
g	Fox Mulder	David Duchovny	The X-Files	1
g	Frank Costello	Jack Nicholson	The Departed	1
g	Frank Lucas	Denzel Washington	American Gangster	1
g	Frank Martin	Jason Statham	The Transporter	1
g	Frank Slade	Al Pacino	Scent of a Woman	1
g	Frank Underwood	Kevin Spacey	House of Cards	1
g	Gandalf	Ian McKellen	Lord of the Rings	1
g	Gellert Grindelwald	Mads Mikkelsen	Fantastic Beasts	1
g	Geordi La Forge	LeVar Burton	Star Trek: The Next Generation	1
g	George Costanza	Jason Alexander	Seinfeld	1
g	Glenn Rhee	Steven Yeun	The Walking Dead	1
g	God	Morgan Freeman	Bruce Almighty	1
g	Gordon Gekko	Michael Douglas	Wall Street	1
g	Gordon Ramsay		Real Person / Celebrity	1
g	Gracie Hart	Sandra Bullock	Miss Congeniality	1
g	Grant Gustin		Real Person / Celebrity	1
g	Hal Wilkerson	Bryan Cranston, 2000s Malcolm in the Middle era	Malcolm in the Middle	1
g	Han Solo	Harrison Ford	Star Wars	2
g	Hank Moody	David Duchovny	Californication	1
g	Hansel	Owen Wilson	Zoolander	1
g	Happy Gilmore	Adam Sandler	Happy Gilmore	1
g	Harold Finch	Michael Emerson	Person of Interest	1
g	Harrison Ford		Real Person / Celebrity	1
g	Harry Callahan	Clint Eastwood	Dirty Harry	1
g	Harry Potter	Daniel Radcliffe	Harry Potter	1
g	Hermione Granger	Emma Watson	Harry Potter	1
g	Homelander	Antony Starr	The Boys	1
g	Host Neil deGrasse Tyson	Neil deGrasse Tyson	Cosmos	1
g	Howard Wolowitz	Simon Helberg	The Big Bang Theory	1
g	Hugh Jackman		Real Person / Celebrity	1
g	Idris Elba		Real Person / Celebrity	1
g	Indiana Jones	Harrison Ford	Indiana Jones	2
g	Inspector Lee	Jackie Chan	Rush Hour	1
g	J Robert Oppenheimer	Cillian Murphy	Oppenheimer	1
g	J.K. Simmons		Real Person / Celebrity	1
g	Jack Bauer	Kiefer Sutherland	24	1
g	Jack Black		Real Person / Celebrity	1
g	Jack Dawson	Leonardo DiCaprio	Titanic	1
g	Jack Donaghy	Alec Baldwin	30 Rock	1
g	Jack Nicholson		Real Person / Celebrity	1
g	Jack Shephard	Matthew Fox	Lost	1
g	Jackie Chan		Real Person / Celebrity	1
g	Jake Gyllenhaal		Real Person / Celebrity	1
g	Jake Peralta	Andy Samberg	Brooklyn Nine-Nine	1
g	James Bond	Daniel Craig	Casino Royale	1
g	James Bond (Daniel Craig)	Daniel Craig	James Bond	1
g	James Hunt	Chris Hemsworth	Rush	1
g	Jamie Foxx		Real Person / Celebrity	1
g	Jane Smith	Angelina Jolie	Mr. & Mrs. Smith	1
g	Jason Bourne	Matt Damon	Bourne Franchise / The Bourne Identity	2
g	Javier Peña	Pedro Pascal	Narcos	1
g	Jax Teller	Charlie Hunnam	Sons of Anarchy	1
g	Jean-Luc Picard	Patrick Stewart	Star Trek: The Next Generation	1
g	Jeff Goldblum		Real Person / Celebrity	1
g	Jennifer Love Hewitt		Real Person / Celebrity	1
g	Jeremy Grey	Vince Vaughn	Wedding Crashers	1
g	Jeremy Renner		Real Person / Celebrity	1
g	Jerry Seinfeld		Seinfeld	1
g	Jesse Eisenberg		Real Person / Celebrity	1
g	Jesse Pinkman	Aaron Paul	Breaking Bad	1
g	Jessica Jones	Krysten Ritter	Jessica Jones	1
g	Jim Carrey		Real Person / Celebrity	1
g	Jim Halpert	John Krasinski	The Office	1
g	Jimmy Conway	Robert De Niro	Goodfellas	1
g	Jimmy Fallon		Real Person / Celebrity	1
g	Joe Rogan		The Joe Rogan Experience	2
g	Joey Tribbiani	Matt LeBlanc	Friends	1
g	John Cena		Real Person / Celebrity	1
g	John Dutton	Kevin Costner	Yellowstone	1
g	John Locke	Terry O'Quinn	Lost	1
g	John Luther	Idris Elba	Luther	1
g	John McClane	Bruce Willis	Die Hard	1
g	John Nolan	Nathan Fillion	The Rookie	1
g	John Oliver		Last Week Tonight	1
g	John Rambo	Sylvester Stallone	Rambo	1
g	John Reese	Jim Caviezel	Person of Interest	1
g	John Travolta		Real Person / Celebrity	2
g	John Wick	Keanu Reeves	John Wick	2
g	Johnny Blaze / Ghost Rider	Nicolas Cage	Ghost Rider	1
g	Jon Snow	Kit Harington	Game of Thrones	1
g	Jordan Belfort	Leonardo DiCaprio	The Wolf of Wall Street	2
g	Joseph Cooper	Matthew McConaughey	Interstellar	1
g	Josh Lyman	Bradley Whitford	The West Wing	1
g	Judge Joseph Dredd	Sylvester Stallone	Judge Dredd	1
g	Jules Winnfield	Samuel L. Jackson	Pulp Fiction	1
g	Julia Roberts		Real Person / Celebrity	1
g	Kanye West		Real Person / Celebrity	2
g	Kate Beckett	Stana Katic	Castle	1
g	Kenny McCormick	Matt Stone	South Park	1
g	Kevin Costner		Real Person / Celebrity	1
g	Kevin Hart		Real Person / Celebrity	1
g	Kirk Lazarus	Robert Downey Jr.	Tropic Thunder	1
g	Kobe Bryant		Lakers court	2
g	Komaram Bheem	N. T. Rama Rao Jr.	RRR	1
g	Kyle Broflovski	Matt Stone	South Park	1
g	Kylo Ren	Adam Driver	Star Wars	1
g	Larry David		Curb Your Enthusiasm	1
g	Laurence Fishburne		Real Person / Celebrity	1
g	Leonard Hofstadter	Johnny Galecki	The Big Bang Theory	1
g	Leonardo DiCaprio		Real Person / Celebrity	1
g	Lex Luthor	Kevin Spacey	Superman Returns	1
g	Liz Lemon	Tina Fey	30 Rock	1
g	Lloyd Christmas	Jim Carrey	Dumb and Dumber	1
g	Loki	Tom Hiddleston	Marvel's Avengers	2
g	Lou Bloom	Jake Gyllenhaal	Nightcrawler	1
g	Lt. Aldo Raine	Brad Pitt	Inglourious Basterds	1
g	Lt. Colonel John Sheppard	Joe Flanigan	Stargate Atlantis	1
g	Lucifer Morningstar	Tom Ellis	Lucifer	1
g	Luke Cage	Mike Colter	Luke Cage	1
g	Mace Windu	Samuel L. Jackson	Star Wars	1
g	Madeline Martha Mackenzie	Reese Witherspoon	Big Little Lies	1
g	Mads Mikkelsen		Real Person / Celebrity	1
g	Major Marquis Warren	Samuel L. Jackson	The Hateful Eight	1
g	Malcolm Reynolds	Nathan Fillion	Firefly	1
g	Maleficent	Angelina Jolie	Maleficent	1
g	Mark Watney	Matt Damon	The Martian	1
g	Martin Riggs	Mel Gibson	Lethal Weapon	1
g	Martin Sheen		Real Person / Celebrity	1
g	Marty McFly	Michael J. Fox	Back to the Future	1
g	Mathayus	Dwayne Johnson	The Scorpion King	1
g	Matt Damon		Real Person / Celebrity	1
g	Matt Murdock	Ben Affleck	Daredevil	1
g	Matthew McConaughey		Real Person / Celebrity	1
g	Maverick / Pete Mitchell	Tom Cruise	Top Gun	1
g	Max Black	Kat Dennings	2 Broke Girls	1
g	Max Rockatansky	Mel Gibson	Mad Max	1
g	Max Rockatansky	Tom Hardy	Mad Max: Fury Road	1
g	Maximus Decimus Meridius	Russell Crowe	Gladiator	1
g	Melinda Gordon	Jennifer Love Hewitt	Ghost Whisperer	1
g	Meryl Streep		Real Person / Celebrity	1
g	Michael B. Jordan		Real Person / Celebrity	1
g	Michael Corleone	Al Pacino	The Godfather	2
g	Michael Douglas		Real Person / Celebrity	1
g	Michael Fassbender		Real Person / Celebrity	1
g	Michael Kelso	Ashton Kutcher	That '70s Show	1
g	Michael Scofield	Wentworth Miller	Prison Break	1
g	Michael Scott	Steve Carell	The Office	1
g	Michonne	Danai Gurira	The Walking Dead	1
g	Miranda Priestly	Meryl Streep	The Devil Wears Prada	1
g	Morgan Freeman		Real Person / Celebrity	1
g	Morpheus	Laurence Fishburne	The Matrix	1
g	Morty Smith	Justin Roiland	Rick and Morty	1
g	Mr. Bean	Rowan Atkinson	Mr. Bean	1
g	Natalie Cook	Cameron Diaz	Charlie's Angels	1
g	Natalie Portman		Real Person / Celebrity	1
g	Natasha Romanoff	Scarlett Johansson	The Avengers	1
g	Navin R. Johnson	Steve Martin	The Jerk	1
g	Negan	Jeffrey Dean Morgan	The Walking Dead	1
g	Neil deGrasse Tyson		Real Person / Celebrity	1
g	Neo	Keanu Reeves	The Matrix	2
g	Neytiri	Zoe Saldana	Avatar	1
g	Nicholas Brody	Damian Lewis	Homeland	1
g	Nick Fury	Samuel L. Jackson	Marvel's Avengers	1
g	Nicolas Cage		Real Person / Celebrity	1
g	Norman Osborn	Willem Dafoe	Spider-Man	1
g	Norman Reedus		Real Person / Celebrity	1
g	Oscar Isaac		Real Person / Celebrity	1
g	Owen Grady	Chris Pratt	Jurassic World	1
g	Owen Wilson		Real Person / Celebrity	1
g	Pam Beesly	Jenna Fischer	The Office	1
g	Patrick Bateman	Christian Bale	American Psycho	1
g	Patrick Jane	Simon Baker	The Mentalist	1
g	Paul Atreides	Timothée Chalamet	Dune	1
g	Paul Rudd		Real Person / Celebrity	1
g	Peacemaker	John Cena	Peacemaker	1
g	Penny	Kaley Cuoco	The Big Bang Theory	1
g	Pennywise	Bill Skarsgård	IT	1
g	Pete Maverick Mitchell	Tom Cruise	Top Gun	1
g	Phil Wenneck	Bradley Cooper	The Hangover	1
g	Phoebe Buffay	Lisa Kudrow	Friends	1
g	President Josiah \"Jed\" Bartlet	Martin Sheen	The West Wing	1
g	Qui-Gon Jinn	Liam Neeson	Star Wars	1
g	Rachel Green	Jennifer Aniston	Friends	1
g	Ragnar Lothbrok	Travis Fimmel	Vikings	1
g	Raj Koothrappali	Kunal Nayyar	The Big Bang Theory	1
g	Randy Marsh	Trey Parker	South Park	1
g	Ransom Drysdale	Chris Evans	Knives Out	1
g	Ray	Colin Farrell	In Bruges	1
g	Raymond Reddington	James Spader	The Blacklist	1
g	Richard B. Riddick	Vin Diesel	The Chronicles of Riddick	1
g	Richard Castle	Nathan Fillion	Castle	1
g	Richard Kimble	Harrison Ford	The Fugitive	1
g	Rick Deckard	Harrison Ford	Blade Runner	1
g	Rick Grimes	Andrew Lincoln	The Walking Dead	1
g	Rick Sanchez	Justin Roiland	Rick and Morty	1
g	Ricky Bobby	Will Ferrell	Talladega Nights	1
g	Rob Lowe		Real Person / Celebrity	1
g	Robert De Niro		Real Person / Celebrity	1
g	Robert McCall	Denzel Washington	The Equalizer	1
g	Robert Pattinson		Real Person / Celebrity	1
g	Robin Williams		Real Person / Celebrity	1
g	RoboCop	Peter Weller	RoboCop	1
g	Rocky Balboa	Sylvester Stallone	Rocky	1
g	Ron Burgundy	Will Ferrell	Anchorman	1
g	Ron Weasley	Rupert Grint	Harry Potter	1
g	Ross Geller	David Schwimmer	Friends	1
g	Rubeus Hagrid	Robbie Coltrane	Harry Potter	1
g	Rust Cohle	Matthew McConaughey	True Detective	1
g	Ryan Gosling		Real Person / Celebrity	1
g	Ryan Reynolds		Real Person / Celebrity	1
g	Sam Ace Rothstein	Robert De Niro	Casino	1
g	Sam Seaborn	Rob Lowe	The West Wing	1
g	Sam Winchester	Jared Padalecki	Supernatural	1
g	Samuel L. Jackson		Real Person / Celebrity	1
g	Sandra Bullock		Real Person / Celebrity	1
g	Saul Berenson	Mandy Patinkin	Homeland	1
g	Saul Goodman	Bob Odenkirk	Breaking Bad	1
g	Scarlet Witch	Elizabeth Olsen	Marvel's Avengers	1
g	Scott Lang / Ant-Man	Paul Rudd	Marvel's Avengers	1
g	Sean Archer	John Travolta	Face/Off	1
g	Sean Dignam	Mark Wahlberg	The Departed	1
g	Seeley Booth	David Boreanaz	Bones	1
g	Sergeant Terry Jeffords	Terry Crews	Brooklyn Nine-Nine	1
g	Seth	Jonah Hill	Superbad	1
g	Sheldon Cooper	Jim Parsons	The Big Bang Theory	1
g	Sherlock Holmes	Benedict Cumberbatch	Sherlock (BBC)	1
g	Sherlock Holmes	Robert Downey Jr.	Sherlock Holmes	1
g	Snoop Dogg		Real Person / Celebrity	2
g	Special Agent Leroy Jethro Gibbs	Mark Harmon	NCIS	1
g	Spike	James Marsters	Buffy the Vampire Slayer	1
g	Spock	Leonard Nimoy	Star Trek: The Original Series	1
g	Stan Marsh	Trey Parker	South Park	1
g	Stanley Ipkiss as The Mask	Jim Carrey	The Mask	1
g	Star-Lord	Chris Pratt	Marvel's Avengers	1
g	Stephen Colbert		Real Person / Celebrity	1
g	Steve Rogers	Chris Evans	Marvel's Avengers	1
g	Stringer Bell	Idris Elba	The Wire	1
g	Summer Smith	Spencer Grammer	Rick and Morty	1
g	Sylvester Stallone		Real Person / Celebrity	1
g	Tallahassee	Woody Harrelson	Zombieland	1
g	Taylor Swift		Real Person / Celebrity	1
g	Ted Mosby	Josh Radnor	How I Met Your Mother	1
g	Thanos	Josh Brolin	Marvel's Avengers	1
g	The Eleventh Doctor	Matt Smith	Doctor Who	1
g	The Narrator	Edward Norton	Fight Club	1
g	The Tenth Doctor	David Tennant	Doctor Who	1
g	The Terminator T-800	Arnold Schwarzenegger	The Terminator	2
g	The Twelfth Doctor	Peter Capaldi	Doctor Who	1
g	Thor	Chris Hemsworth	Marvel's Avengers	1
g	Tim \"The Tool Man\" Taylor	Tim Allen	Home Improvement	1
g	Tim Allen		Real Person / Celebrity	1
g	Tom Cruise		Real Person / Celebrity	1
g	Tom Hanks		Real Person / Celebrity	1
g	Tom Hardy		Real Person / Celebrity	1
g	Tom Hiddleston		Real Person / Celebrity	1
g	Tom Selleck		Real Person / Celebrity	1
g	Tommy Shelby	Cillian Murphy	Peaky Blinders	1
g	Tony Montana	Al Pacino	Scarface	2
g	Tony Soprano	James Gandolfini	The Sopranos	1
g	Tony Stark	Robert Downey Jr.	Marvel's Avengers	2
g	Travis Bickle	Robert De Niro	Taxi Driver	1
g	Tyler Durden	Brad Pitt	Fight Club	2
g	Tyler Rake	Chris Hemsworth	Extraction	1
g	Tyrion Lannister	Peter Dinklage	Game of Thrones	1
g	Vince Vaughn		Real Person / Celebrity	1
g	Vincent Hanna	Al Pacino	Heat	1
g	Vincent Vega	John Travolta	Pulp Fiction	2
g	Walter White	Bryan Cranston	Breaking Bad	1
g	Wednesday Addams	Jenna Ortega	Wednesday	1
g	Will Ferrell		Real Person / Celebrity	1
g	Will Hunting	Matt Damon	Good Will Hunting	1
g	Will Smith		The Fresh Prince of Bel-Air	1
g	Willem Dafoe		Real Person / Celebrity	1
g	William Munny	Clint Eastwood	Unforgiven	1
g	William Riker	Jonathan Frakes	Star Trek: The Next Generation	1
g	William Somerset	Morgan Freeman	Se7en	1
g	Willow Rosenberg	Alyson Hannigan	Buffy the Vampire Slayer	2
g	Willy Wonka	Johnny Depp	Charlie and the Chocolate Factory	1
g	Wolverine	Hugh Jackman	Marvel's Avengers / X-Men	2
g	Woody Harrelson		Real Person / Celebrity	1
g	Worf	Michael Dorn	Star Trek: The Next Generation	1
g	Ziva David	Cote de Pablo	NCIS	1
f	Agent Olivia Dunham	Anna Torv	Fringe	1
f	Albus Dumbledore	Michael Gambon	Harry Potter	1
f	Alfred Pennyworth	Michael Caine	The Dark Knight	1
f	Annie Porter	Sandra Bullock	Speed	1
f	Arthur Fleck as Joker	Joaquin Phoenix	Joker	1
f	Barbie	Margot Robbie	Barbie	1
f	Bill Skarsgård		Real Person / Celebrity	1
f	Bruce Wayne / Batman	Adam West	Batman	1
f	Caitlyn	Katie Leung	Arcane	1
f	Chris Rock		Real Person / Celebrity	1
f	Colin Firth		Real Person / Celebrity	1
f	Commissioner James Gordon	Jeffrey Wright	The Batman	1
f	Craig Ferguson		The Late Late Show	2
f	Cruella de Vil	Emma Stone	Cruella	1
f	Danny Zuko	John Travolta	Grease	1
f	Dr. Ian Malcolm	Jeff Goldblum	Jurassic Park	1
f	Ewan McGregor		Real Person / Celebrity	1
f	Geralt of Rivia	Henry Cavill	The Witcher	2
f	Giselle	Amy Adams	Enchanted	1
f	Henry Cavill		Real Person / Celebrity	1
f	Idi Amin	Forest Whitaker	The Last King of Scotland	1
f	Jean Valjean	Hugh Jackman	Les Miserables	1
f	Jeff Bridges		Real Person / Celebrity	1
f	Jimmy Carr		8 Out of 10 Cats	2
f	Jinx	Ella Purnell	Arcane	1
f	Jon Stewart		The Daily Show	2
f	Jonathan Archer	Scott Bakula	Star Trek: Enterprise	1
f	Lara Croft	Angelina Jolie	Lara Croft: Tomb Raider	1
f	Lex Luthor	Jesse Eisenberg	Batman v Superman	1
f	Magneto	Michael Fassbender	X-Men	1
f	Malcolm Wilkerson	Frankie Muniz	Malcolm in the Middle	1
f	Marc Spector / Moon Knight	Oscar Isaac	Moon Knight	1
f	Mark Wahlberg		Real Person / Celebrity	1
f	Michael Caine		Real Person / Celebrity	1
f	Michael Jackson		Real Person / Celebrity	2
f	Millie Bobby Brown		Real Person / Celebrity	1
f	Oberyn Martell	Pedro Pascal	Game of Thrones	1
f	Obi-Wan Kenobi	Ewan McGregor	Star Wars	1
f	P.T. Barnum	Hugh Jackman	The Greatest Showman	1
f	Ren McCormack	Kevin Bacon	Footloose	1
f	Rick Dalton	Leonardo DiCaprio	Once Upon a Time in Hollywood	1
f	Rick O'Connell	Brendan Fraser	The Mummy	2
f	Ricky Gervais		Real Person / Celebrity	1
f	Robert Lewandowski		football pitch	2
f	Rufus	Chris Rock	Dogma	1
f	Ryan Stone	Sandra Bullock	Gravity	1
f	Sam Wilson / Falcon	Anthony Mackie	The Falcon and the Winter Soldier	1
f	Samuel Gerard	Tommy Lee Jones	The Fugitive	1
f	Silco	Jason Spisak	Arcane	1
f	T'Challa / Black Panther	Chadwick Boseman	Black Panther	1
f	Tilda Swinton		Real Person / Celebrity	1
f	Tucker Carlson		Tucker Carlson Tonight	2
f	Vi	Hailee Steinfeld	Arcane	1
b	A-Train	Jessie T. Usher	The Boys	1
b	Aaron Eckhart		Real Person / Celebrity	1
b	Abbi Abrams	Abbi Jacobson	Broad City	1
b	Abed Nadir	Danny Pudi	Community	1
b	Adam West		Real Person / Celebrity	1
b	Agent Dale Cooper	Kyle MacLachlan	Twin Peaks	1
b	Agent K	Tommy Lee Jones	Men in Black	1
b	Agent Smith	Hugo Weaving	The Matrix	1
b	Ahsoka Tano	Rosario Dawson	Ahsoka	1
b	Aida Turturro		Real Person / Celebrity	1
b	Al Bundy	Ed O'Neill	Married... with Children	1
b	Aladdin	Mena Massoud	Aladdin	1
b	Alan Garner	Zach Galifianakis	The Hangover	1
b	Alan Ruck		Real Person / Celebrity	1
b	Albus Dumbledore	Richard Harris	Harry Potter	1
b	Alejandro Gillick	Benicio del Toro	Sicario	1
b	Alex Dunphy	Ariel Winter	Modern Family	1
b	Alex Vause	Laura Prepon	Orange Is the New Black	1
b	Alexander Siddig		Real Person / Celebrity	1
b	Alexander Skarsgård		Real Person / Celebrity	1
b	Alexis Rose	Annie Murphy	Schitt's Creek	1
b	Alfred Hitchcock		Real Person / Celebrity	1
b	Alfred Pennyworth	Jeremy Irons	Justice League	1
b	Alfred Pennyworth	Michael Gough	Batman	1
b	Alice	Milla Jovovich	Resident Evil	1
b	Alice Eve		Real Person / Celebrity	1
b	Alicia Silverstone		Real Person / Celebrity	1
b	Alicia Vikander		Real Person / Celebrity	1
b	Alison Brie		Real Person / Celebrity	1
b	Allison Mack		Real Person / Celebrity	1
b	Ally McBeal	Calista Flockhart	Ally McBeal	1
b	Alyson Hannigan		Real Person / Celebrity	1
b	Amanda Peet		Real Person / Celebrity	1
